#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
22  0.099406443556  0.099406443556  0.008335164367  -0.000174942368   0.107566665555  -0.222051064910
23  0.099407133635  0.099407133635  0.008335862658  -0.000175736034   0.107567260259  -0.222048469622
24  0.099471351745  0.099471351745  0.008271402492  -0.000429566422   0.107313187814  -0.213387338019
25  0.099679201539  0.099679201539  0.008700476019  -0.000551117836   0.107828559722  -0.221755445249
26  0.099682529889  0.099682529889  0.019922484237  -0.000137745568   0.119467268558  -0.538370437818
27  0.099684369435  0.099684369435  0.019916203757  -0.000138591869   0.119461981323  -0.538176508129
28  0.099684585052  0.099684585052  0.008707630280  -0.000563378675   0.107828836657  -0.221616488132
29  0.099688106220  0.099688106220  0.019904433272  -0.000138850852   0.119453688639  -0.537849169443
30  0.099690893457  0.099690893457  0.008714771634  -0.000577931928   0.107827733164  -0.221414800000
31  0.099698901467  0.099698901467  0.008037406528  -0.000027003586   0.107709304409  -0.217974278611
32  0.099699030746  0.099699030746  0.008037179263  -0.000027088322   0.107709121688  -0.217965788655
33  0.099699196817  0.099699196817  0.008036535465  -0.000026864935   0.107708867347  -0.217954348670
34  0.101629982207  0.101629982207  0.016164423202  -0.002555103230   0.115239302179  -0.370328649483
35  0.101631205083  0.101631205083  0.016161182654  -0.002555078983   0.115237308754  -0.370241129432
36  0.101633069792  0.101633069792  0.016157122231  -0.002555886927   0.115234305096  -0.370108654362
37  0.102441048232  0.102441048232  0.016727471134  -0.003075854718   0.116092664647  -0.371479594939
38  0.102451042161  0.102451042161  0.016712007003  -0.003079643521   0.116083405643  -0.370955695641
39  0.102458096175  0.102458096175  0.016705099162  -0.003095584950   0.116067610388  -0.370333935036
40  0.102508867302  0.102508867302  0.016109259851  -0.003154468953   0.115463658200  -0.352517997048
41  0.102513592946  0.102513592946  0.016104471674  -0.003161924613   0.115456140007  -0.352184825101
42  0.102522189993  0.102522189993  0.016083819720  -0.003160644262   0.115445365451  -0.351657696665
43  0.103499249277  0.103499249277  0.013139226302  -0.000000351040   0.116638124539  -0.357527190300
44  0.103775020945  0.103775020945  0.015577433259  -0.002576368904   0.116776085300  -0.353777162589
45  0.103776432227  0.103776432227  0.015574456311  -0.002576205633   0.116774682905  -0.353700598515
46  0.104777007130  0.104777007130  0.012556417637  -0.002006288960   0.115327135807  -0.287083771498
47  0.104778594761  0.104778594761  0.012551801044  -0.002005080693   0.115325315112  -0.286991026160
48  0.104787370129  0.104787370129  0.012490060379  -0.001983969370   0.115293461137  -0.285885444864
49  0.104847678699  0.104847678699  0.022324628811  -0.000041833482   0.127130474028  -0.606346056800
50  0.104869692228  0.104869692228  0.022270519077  -0.000044171741   0.127096039564  -0.604810027891
51  0.104874815692  0.104874815692  0.022260603864  -0.000044421520   0.127090998037  -0.604533424243
52  0.104911562586  0.104911562586  0.011689435186  -0.001470368027   0.115130629745  -0.278075124088
53  0.104914477252  0.104914477252  0.011668322290  -0.001482359022   0.115100440520  -0.277174320859
54  0.104917106995  0.104917106995  0.011869411323  -0.001888969166   0.114897549151  -0.271581803691
55  0.104919567225  0.104919567225  0.011619931068  -0.001457146118   0.115082352175  -0.276543606385
56  0.104923773949  0.104923773949  0.022320028904  -0.000032178663   0.127211624190  -0.606483608044
57  0.104950124063  0.104950124063  0.022269804235  -0.000033709965   0.127186218332  -0.605075255596
58  0.104966061851  0.104966061851  0.022246771553  -0.000032982140   0.127179851265  -0.604468309242
59  0.105038708396  0.105038708396  0.009316884954  -0.000062641726   0.114292951623  -0.251820914151
60  0.105038853567  0.105038853567  0.009315446161  -0.000062388452   0.114291911277  -0.251788654559
61  0.105105431959  0.105105431959  0.009456227100  -0.000195093872   0.114366565186  -0.252008400706
62  0.105107624560  0.105107624560  0.009457679074  -0.000198915157   0.114366388477  -0.251943928450
63  0.105110441275  0.105110441275  0.009459376375  -0.000204078558   0.114365739091  -0.251849611009
64  0.105145291763  0.105145291763  0.010013845407  -0.000538354635   0.114620782535  -0.257841369603
65  0.105146929613  0.105146929613  0.010029093090  -0.000551060862   0.114624961840  -0.257910526155
66  0.105148790116  0.105148790116  0.010055431308  -0.000568540319   0.114635681106  -0.258151585468
67  0.105280807422  0.105280807422  0.009196241020  -0.000000372553   0.114476675890  -0.250232455222
