#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
33  0.075061209124  0.075061209124  0.007699870685  -0.000312612397   0.082448467412  -0.201017640175
34  0.075147011730  0.075147011730  0.007656279999  -0.000363500875   0.082439790854  -0.198446729864
35  0.075228147378  0.075228147378  0.007730651454  -0.000142351175   0.082816447657  -0.206488274204
36  0.075307483738  0.075307483738  0.007595410688  -0.000568544012   0.082334350414  -0.191210879859
37  0.075429662076  0.075429662076  0.007527316368  -0.000465642420   0.082491336025  -0.192158034490
38  0.075450828389  0.075450828389  0.007297335550  -0.000764642404   0.081983521535  -0.177763726267
39  0.075554584145  0.075554584145  0.007720201557  -0.000470635102   0.082804150600  -0.197270852629
40  0.075690139297  0.075690139297  0.007619036220  -0.000604745677   0.082704429841  -0.190868665691
41  0.075717687168  0.075717687168  0.007490516567  -0.000754378415   0.082453825321  -0.183299749731
42  0.075841793512  0.075841793512  0.007427117754  -0.000366610313   0.082902300954  -0.192126292189
43  0.075857459423  0.075857459423  0.007216893892  -0.000646067951   0.082428285364  -0.178801373009
44  0.075914857220  0.075914857220  0.007375120821  -0.000408025574   0.082881952467  -0.189584415600
45  0.075980182131  0.075980182131  0.007254540198  -0.000399578597   0.082835143732  -0.186533102110
46  0.076119902636  0.076119902636  0.007293181459  -0.001102019362   0.082311064733  -0.168470188304
47  0.076360008458  0.076360008458  0.007073598936  -0.000925475499   0.082508131895  -0.167299046090
48  0.076397416845  0.076397416845  0.007112025946  -0.000929656392   0.082579786399  -0.168230930869
49  0.076474912716  0.076474912716  0.006308198476  -0.000830208885   0.081952902307  -0.149063765950
50  0.076557126347  0.076557126347  0.005655982398  -0.000078388646   0.082134720099  -0.151774134619
51  0.076587424414  0.076587424414  0.006536971156  -0.000655294375   0.082469101196  -0.160048659569
52  0.076637285974  0.076637285974  0.006104509903  -0.000636123587   0.082105672290  -0.148802447382
53  0.076982827501  0.076982827501  0.004821570186  -0.000024475657   0.081779922030  -0.130535658066
54  0.077010861408  0.077010861408  0.004838755482  -0.000027036455   0.081822580435  -0.130933611122
55  0.077017209423  0.077017209423  0.004785979828  -0.000022924572   0.081780264680  -0.129609401798
56  0.077020939969  0.077020939969  0.004802011835  -0.000030310877   0.081792640927  -0.129844663462
57  0.077156945503  0.077156945503  0.005208614483  -0.000306860943   0.082058699043  -0.133383576269
58  0.077171328025  0.077171328025  0.005001550987  -0.000130460207   0.082042418805  -0.132549199651
59  0.077191457231  0.077191457231  0.004922324876  -0.000034662057   0.082079120050  -0.133000148026
60  0.077232578131  0.077232578131  0.005658536792  -0.000531853474   0.082359261449  -0.139504230445
61  0.077268350531  0.077268350531  0.005046831814  -0.000116596592   0.082198585753  -0.134158602719
62  0.077307581558  0.077307581558  0.004891564672  -0.000025037390   0.082174108840  -0.132425020476
63  0.077310692793  0.077310692793  0.005041225262  -0.000120573701   0.082231344355  -0.133897817910
64  0.077325839945  0.077325839945  0.004881609954  -0.000056796305   0.082150653594  -0.131289934121
65  0.077388710979  0.077388710979  0.005476685829  -0.000515634290   0.082349762518  -0.134997157854
66  0.077512046385  0.077512046385  0.005281993087  -0.000446271074   0.082347768397  -0.131586765972
67  0.077583457162  0.077583457162  0.005312108982  -0.000529795292   0.082365770852  -0.130133450746
68  0.077695333374  0.077695333374  0.004694486177  -0.000009158896   0.082380660654  -0.127494314761
69  0.077698449199  0.077698449199  0.004676492420  -0.000008529338   0.082366412281  -0.127021810615
70  0.077744630339  0.077744630339  0.004801567318  -0.000124826427   0.082421371230  -0.127260667080
71  0.077752206118  0.077752206118  0.004706143363  -0.000063209307   0.082395140174  -0.126340735772
72  0.077762772663  0.077762772663  0.004765639184  -0.000159627704   0.082368784143  -0.125336020789
73  0.077767398894  0.077767398894  0.004753026817  -0.000052413695   0.082468012016  -0.127910263907
74  0.077801826723  0.077801826723  0.004848894667  -0.000099977430   0.082550743960  -0.129224686509
75  0.077874961433  0.077874961433  0.004867287447  -0.000007864511   0.082734384369  -0.132231701283
76  0.077904183221  0.077904183221  0.004871832854  -0.000072682091   0.082703333983  -0.130591611062
77  0.077916011645  0.077916011645  0.004748012213  -0.000065013784   0.082599010074  -0.127430943456
78  0.077920132610  0.077920132610  0.004790614058  -0.000055077651   0.082655669017  -0.128860575378
79  0.077934376381  0.077934376381  0.004548443146  -0.000045830558   0.082436988968  -0.122522392165
80  0.077944291835  0.077944291835  0.004731261956  -0.000105355310   0.082570198481  -0.125877396096
81  0.077955935330  0.077955935330  0.004496603600  -0.000017572978   0.082434965952  -0.121880693875
82  0.077995230217  0.077995230217  0.004277989500  -0.000053301001   0.082219918716  -0.114959688628
83  0.078021234887  0.078021234887  0.004572447569  -0.000052142770   0.082541539686  -0.123003822014
84  0.078073588357  0.078073588357  0.004440821474  -0.000084766360   0.082429643470  -0.118534358116
